Putative.Genotype.ID,Individual.ID,Genotype,Geno.std,Tank,Treatment,Donor Frag,Donor.change,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18
GB25,Exp4_D27_GB25,GB25 (1/2),GB25,27,Diseased,E,P.Day10,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M12,Exp4_D28_M12,M12 (2/2),M12,28,Diseased,O,,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
UK36,Exp4_D28_UK36,UK36,UK36,28,Diseased,O,,Healthy,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed
M8,Exp4_D29_M8,M8 (1/2),M8,29,Diseased,P,,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF657,Exp4_D29_OF657,OF657,OF657,29,Diseased,P,,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M31,Exp4_D30_M31,M31 (2/2),M31,30,Diseased,O,,Healthy,Healthy,Watch,Watch,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15349,Exp4_D31_15-349,15-349,15349,31,Diseased,P,,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
GB10,Exp4_D31_GB10,GB10,GB10,31,Diseased,P,,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Watch,Watch,Healthy,Watch,Healthy
GB15,Exp4_D32_GB15,GB15,GB15,32,Diseased,O,,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M31,Exp4_D32_M31,M31 (1/2),M31,32,Diseased,O,,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB17,Exp4_D33_GB17,GB17,GB17,33,Diseased,M,O.Day13,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M33,Exp4_D33_M33,M33,M33,33,Diseased,M,O.Day13,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed
GB18,Exp4_D34_GB18,GB18,GB18,34,Diseased,M,,Healthy,Healthy,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M28,Exp4_D34_M28,M28 (2/2),M28,34,Diseased,M,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB21,Exp4_D35_GB21,GB21,GB21,35,Diseased,L,P.Day5,Healthy,Watch,Watch,Healthy,Watch,Watch,Healthy,Watch,Watch,Watch,Watch,Healthy,Healthy,Healthy,Watch,Watch,Watch,Watch,Healthy
M24,Exp4_D35_M24,M24,M24,35,Diseased,L,P.Day5,Healthy,Watch,Healthy,Healthy,Healthy,Watch,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB3,Exp4_D36_GB3,GB3,GB3,36,Diseased,O,,Healthy,Healthy,Healthy,Watch,Watch,Healthy,Healthy,Healthy,Watch,Watch,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
M21,Exp4_D36_M21,M21 (2/2),M21,36,Diseased,O,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy
GB4,Exp4_D37_GB4,GB4,GB4,37,Diseased,P,K.Day5,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB8,Exp4_D37_GB8,GB8,GB8,37,Diseased,P,K.Day5,Healthy,Watch,Watch,Watch,Healthy,Watch,Watch,Healthy,Healthy,Watch,Watch,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
GB9,Exp4_D38_GB9,GB9,GB9,38,Diseased,K,,Healthy,Watch,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF654,Exp4_D38_OF654,OF654,OF654,38,Diseased,K,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M11,Exp4_D39_M11,M11,M11,39,Diseased,E,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S503,Exp4_D39_S503,S503,S503,39,Diseased,E,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M12,Exp4_D40_M12,M12 (1/2),M12,40,Diseased,P,,Healthy,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M17,Exp4_D40_M17,M17,M17,40,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
M15,Exp4_D41_M15,M15,M15,41,Diseased,O,,Healthy,Watch,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M2,Exp4_D41_M2,M2 (1/2),M2,41,Diseased,O,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M13,Exp4_D42_M13,M13 (2/2),M13,42,Diseased,P,,Healthy,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M16,Exp4_D42_M16,M16,M16,42,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M19,Exp4_D43_M19,M19,M19,43,Diseased,K,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M30,Exp4_D43_M30,M30 (2/2),M30,43,Diseased,K,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M14,Exp4_D44_M14,M14,M14,44,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M20,Exp4_D44_M20,M20 (1/2),M20,44,Diseased,P,,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB26,Exp4_D45_GB26,GB26,GB26,45,Diseased,O,,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M23,Exp4_D45_M23,M23 (2/2),M23,45,Diseased,O,,Healthy,Healthy,Watch,Healthy,Healthy,Watch,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB2,Exp4_D46_GB2,GB2,GB2,46,Diseased,P,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M26,Exp4_D46_M26,M26,M26,46,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB19,Exp4_D47_GB19,GB19,GB19,47,Diseased,M,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M29,Exp4_D47_M29,M29 (2/2),M29,47,Diseased,M,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M18,Exp4_D48_M18,M18,M18,48,Diseased,P,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M3,Exp4_D48_M3,M3,M3,48,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB14,Exp4_D49_GB14,GB14,GB14,49,Diseased,K,,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M32,Exp4_D49_M32,M32 (2/2),M32,49,Diseased,K,,Healthy,Healthy,Watch,Watch,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB16,Exp4_D50_GB16,GB16,GB16,50,Diseased,L,,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M34,Exp4_D50_M34,M34 (2/2),M34,50,Diseased,L,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
