Site,Unique ID,Outplant.Date,Tag.Num,Project Type,Attachment Method,Plug Type,Geno Layout,Num.Frags.Array,Species,Geno,Time.Point,Monitoring.Date,Num.Dead.Old,Num.Dead.New,Num.Missing,Num.Predation,Perc.Partial.Mortality.Old,Perc.Partial.Mortality.New,Fish.Predation,Snails,Disease,Bleaching,Overall.Condition,Fusion,Comments,Location
CI_M_1,43292-CI_M_1-4,7/11/2018,4,Restoration,plug/concrete,ce,grouped,19,OFAV,OF125,One.Month,8/14/2018,0,0,2,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-17,7/12/2018,17,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,9,0,0,0,80,0,N,N,N,N,0,0,10 corals 80-90% OM,Cook Island
CI_M_1,43293-CI_M_1-18,7/12/2018,18,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,6,0,0,0,70,0,N,N,N,Y,0,0,"11 corals 80% OM, Part bleached",Cook Island
CI_M_1,43293-CI_M_1-19,7/12/2018,19,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,14,0,0,0,80,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-20,7/12/2018,20,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,0,0,3,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-21,7/12/2018,21,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,0,0,2,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-22,7/12/2018,22,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,5,0,1,0,20,0,N,N,N,N,0,0,"2 coral 60%OM, 7 coral 90% OM",Cook Island
CI_M_1,43293-CI_M_1-23,7/12/2018,23,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,13,0,0,0,15,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-24,7/12/2018,24,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,13,0,1,0,95,0,N,N,N,N,0,0,all corals 95% OM,Cook Island
CI_M_1,43293-CI_M_1-25-28,7/12/2018,25-28,Restoration,plug/concrete,ce,grouped,453,OFAV,OF125,One.Year,7/17/2019,no data,no data,no data,no data,NA,NA,no data,no data,no data,no data,0,0,no data,Cook Island
CI_M_1,43292-CI_M_1-12,7/11/2018,12,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-13,7/11/2018,13,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,4,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-14,7/12/2018,14,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,1,0,0,0,Y,N,N,N,0,0,Evidence of minor-moderate fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-3,7/11/2018,3,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-16,7/12/2018,16,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-17,7/12/2018,17,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-18,7/12/2018,18,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-19,7/12/2018,19,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-20,7/12/2018,20,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,3,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-8,7/11/2018,8,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,0,0,0,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43292-CI_M_1-9,7/11/2018,9,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,0,0,0,0,5,0,N,N,N,N,0,0,2 corals 50% OM,Cook Island
CI_M_1,43292-CI_M_1-10,7/11/2018,10,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,3,0,1,0,5,0,N,N,N,N,0,0,2 corals 50% OM,Cook Island
CI_M_1,43292-CI_M_1-11,7/11/2018,11,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,2,0,1,0,5,0,N,N,N,N,0,0,1 coral 95% OM,Cook Island
CI_M_1,43293-CI_M_1-24,7/12/2018,24,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,1,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-25-28,7/12/2018,25-28,Restoration,plug/concrete,ce,grouped,453,OFAV,OF125,One.Month,8/14/2018,no data,no data,no data,no data,NA,NA,no data,no data,no data,no data,no data,0,no data,Cook Island
CI_M_1,43292-CI_M_1-1,7/11/2018,1,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,6,0,0,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-15,7/12/2018,15,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,Y,N,N,N,0,0,Evidence of minor-moderate fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-3,7/11/2018,3,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,4,0,0,0,5,0,N,N,N,Y,0,0,Pale,Cook Island
CI_M_1,43292-CI_M_1-4,7/11/2018,4,Restoration,plug/concrete,ce,grouped,19,OFAV,OF125,One.Year,7/17/2019,4,0,2,0,5,0,N,N,N,Y,0,0,Pale,Cook Island
CI_M_1,43292-CI_M_1-5,7/11/2018,5,Restoration,plug/concrete,ce,grouped,21,OFAV,OF125,One.Year,7/17/2019,0,0,0,0,5,0,N,N,N,N,0,0,3 corals 95% OM,Cook Island
CI_M_1,43292-CI_M_1-6,7/11/2018,6,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,0,0,0,0,5,0,N,N,N,N,0,0,3 corals 95% OM,Cook Island
CI_M_1,43292-CI_M_1-7,7/11/2018,7,Restoration,plug/concrete,ce,grouped,7,OFAV,OF125,One.Year,7/17/2019,0,0,0,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-35,7/12/2018,35,Restoration,plug/concrete,ce,grouped,45,OFAV,OF61,One.Month,8/14/2018,no data,no data,no data,no data,NA,NA,no data,no data,no data,no data,no data,0,no data,Cook Island
CI_M_1,43292-CI_M_1-13,7/11/2018,13,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,14,0,4,0,0,0,N,N,N,Y,0,0,Pale,Cook Island
CI_M_1,43293-CI_M_1-14,7/12/2018,14,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,17,0,1,0,0,0,N,N,N,N,0,0,8 corals 90% OM,Cook Island
CI_M_1,43293-CI_M_1-15,7/12/2018,15,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,7,0,0,0,25,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43292-CI_M_1-12,7/11/2018,12,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,18,0,0,0,20,0,N,N,N,N,0,0,1 coral 40%,Cook Island
CI_M_1,43293-CI_M_1-33,7/12/2018,33,Restoration,plug/concrete,ce,grouped,21,OFAV,OF61,One.Year,7/17/2019,0,0,0,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-34,7/12/2018,34,Restoration,plug/concrete,ce,grouped,24,OFAV,OF61,One.Year,7/17/2019,0,0,0,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-35,7/12/2018,35,Restoration,plug/concrete,ce,grouped,45,OFAV,OF61,One.Year,7/17/2019,no data,no data,no data,no data,NA,NA,no data,no data,no data,no data,0,0,no data,Cook Island
CI_M_1,43293-CI_M_1-16,7/12/2018,16,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,13,0,0,0,10,5,N,N,N,N,0,0,2 corals 95% OM,Cook Island
CI_M_1,43293-CI_M_1-31-32,7/12/2018,31-32,Restoration,plug/concrete,ce,grouped,53,OFAV,OF1,One.Year,7/17/2019,no data,no data,no data,no data,NA,NA,no data,no data,no data,no data,0,0,no data,Cook Island
CI_M_1,43293-CI_M_1-30,7/12/2018,30,Restoration,plug/concrete,ce,grouped,30,OFAV,OF1,One.Month,8/14/2018,0,0,3,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-29,7/12/2018,29,Restoration,plug/concrete,ce,grouped,7,OFAV,OF1,One.Year,7/17/2019,0,0,0,0,5,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-34,7/12/2018,34,Restoration,plug/concrete,ce,grouped,24,OFAV,OF61,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-29,7/12/2018,29,Restoration,plug/concrete,ce,grouped,7,OFAV,OF1,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-2,7/11/2018,2,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Year,7/17/2019,14,0,0,0,40,0,N,N,N,Y,0,0,3 coral 90% OM. Pale,Cook Island
CI_M_1,43293-CI_M_1-31-32,7/12/2018,31-32,Restoration,plug/concrete,ce,grouped,53,OFAV,OF1,One.Month,8/14/2018,no data,no data,no data,no data,NA,NA,no data,no data,no data,no data,no data,0,no data,Cook Island
CI_M_1,43293-CI_M_1-30,7/12/2018,30,Restoration,plug/concrete,ce,grouped,30,OFAV,OF1,One.Year,7/17/2019,0,0,3,0,0,0,N,N,N,N,0,0,0,Cook Island
CI_M_1,43293-CI_M_1-33,7/12/2018,33,Restoration,plug/concrete,ce,grouped,21,OFAV,OF61,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_2,43371-CI_M_2-11,9/28/2018,11,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-8,9/28/2018,8,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-10,9/28/2018,10,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,20,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-15,9/28/2018,15,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-12,9/28/2018,12,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-9,9/28/2018,9,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-18,9/28/2018,18,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF27,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-19,9/28/2018,19,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,1 polyp appears dead on 1/5 coral; 1 @ 5%,Cook Island
CI_M_2,43371-CI_M_2-16,9/28/2018,16,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF27,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-17,9/28/2018,17,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF27,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-22,9/28/2018,22,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-23,9/28/2018,23,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-20,9/28/2018,20,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-21,9/28/2018,21,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,Y,2,0,Paling on 10% of 1/5 corals. P,Cook Island
CI_M_2,43371-CI_M_2-3,9/28/2018,3,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,1,0,0,0,20,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-14,9/28/2018,14,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-5,9/28/2018,5,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF8,One.Year,10/11/2019,0,0,0,0,15,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-6,9/28/2018,6,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF8,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-7,9/28/2018,7,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,10,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-20,9/28/2018,20,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-21,9/28/2018,21,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-22,9/28/2018,22,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-23,9/28/2018,23,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-24,9/28/2018,24,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-25,9/28/2018,25,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,1,0,0,0,Y,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-1,9/28/2018,1,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,10,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-2,9/28/2018,2,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-15,9/28/2018,15,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,1,0,5,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-4,9/28/2018,4,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF8,One.Year,10/11/2019,2,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-17,9/28/2018,17,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF27,One.Year,10/11/2019,0,0,0,0,20,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-18,9/28/2018,18,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF27,One.Year,10/11/2019,0,0,0,0,50,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-19,9/28/2018,19,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-2,9/28/2018,2,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-3,9/28/2018,3,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-4,9/28/2018,4,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF8,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-5,9/28/2018,5,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF8,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-6,9/28/2018,6,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF8,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-7,9/28/2018,7,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-26,9/28/2018,26,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-27,9/28/2018,27,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-12,9/28/2018,12,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,Y,2,0,Paling of 10% tissue on 1/5 corals. P,Cook Island
CI_M_2,43371-CI_M_2-13,9/28/2018,13,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-27,9/28/2018,27,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,1,N,N,N,Y,2,0,2 polyps dead on 1/5 corals; 1 @ 5%. P,Cook Island
CI_M_2,43371-CI_M_2-16,9/28/2018,16,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF27,One.Year,10/11/2019,1,0,0,0,30,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-1,9/28/2018,1,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-25,9/28/2018,25,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,1,5,30,0,Y,N,N,N,2,0,1/5 coral completley popped off plug by fish,Cook Island
CI_M_2,43371-CI_M_2-26,9/28/2018,26,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,4,N,N,N,N,2,0,1 coral displaying ~20% mortality,Cook Island
CI_M_2,43371-CI_M_2-8,9/28/2018,8,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-24,9/28/2018,24,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF61,One.Month,11/13/2018,0,0,0,5,15,0,Y,N,N,N,2,0,0,Cook Island
CI_M_2,43371-CI_M_2-13,9/28/2018,13,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,0,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-14,9/28/2018,14,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Year,10/11/2019,0,0,0,0,10,0,N,N,N,N,0,0,Growing onto reef,Cook Island
CI_M_2,43371-CI_M_2-11,9/28/2018,11,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,Ragged edge on 1/5 corals; 1 @ 5% PM,Cook Island
CI_M_2,43371-CI_M_2-9,9/28/2018,9,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,Y,2,0,"1 polyp appears pale on 1/5 coral, however still retains tissue. P",Cook Island
CI_M_2,43371-CI_M_2-10,9/28/2018,10,Research/Restoration,plug/concrete,0,grouped,5,OFAV,OF125,One.Month,11/13/2018,0,0,0,5,10,0,Y,N,N,N,2,0,Tag is missing,Cook Island
CI_M_3,43865-CI_M_3-36,2/4/2020,36,Restoration,plug/epoxy,co,grouped,20,OFAV,OF61,One.Year,2/12/2021,0,0,0,1,5,2,N,N,N,N,1,0,0,Cook Island
CI_M_3,43865-CI_M_3-37,2/4/2020,37,Restoration,plug/epoxy,co,grouped,20,OFAV,OF61,One.Year,2/12/2021,0,0,0,0,10,0,N,N,N,N,1,0,0,Cook Island
CI_M_3,43865-CI_M_3-39,2/4/2020,39,Restoration,plug/epoxy,co,grouped,20,OFAV,OF61,One.Year,2/12/2021,0,0,1,0,5,0,N,N,N,N,1,0,0,Cook Island
CI_M_3,43865-CI_M_3-40,2/4/2020,40,Restoration,plug/epoxy,co,grouped,20,OFAV,OF61,One.Year,2/12/2021,0,0,1,0,5,0,N,N,N,N,1,0,0,Cook Island
