Putative.Genotype.ID,Individual.ID,Genotype,Geno.std,Tank,Treatment,Donor Frag,Donor.change,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16
GB17,Exp3_D16_GB17,GB17,GB17,16,Disease,K,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB18,Exp3_D16_GB18,GB18,GB18,16,Disease,K,,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M35,Exp3_D17_M35,M35,M35,17,Disease,K,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF97,Exp3_D17_OF97,OF97,OF97,17,Disease,K,,Healthy,Initial Disease,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB12,Exp3_D18_GB12,GB12,GB12,18,Disease,J,,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M4,Exp3_D18_M4,M4,M4,18,Disease,J,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB24,Exp3_D19_GB24,GB24 (1/2),GB24,19,Disease,N,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M15,Exp3_D19_M15,M15,M15,19,Disease,N,,Healthy,Watch,Initial Disease,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB11,Exp3_D20_GB11,GB11,GB11,20,Disease,M,,Healthy,Watch,Watch,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF23,Exp3_D20_OF23,OF23,OF23,20,Disease,M,,Healthy,Watch,Watch,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M11,Exp3_D21_M11,M11,M11,21,Disease,J,K.Day2,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF512,Exp3_D21_OF512,OF512,OF512,21,Disease,J,K.Day2,Healthy,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB20,Exp3_D22_GB20,GB20,GB20,22,Disease,D,,Healthy,Watch,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed
OF443,Exp3_D22_OF443,OF443,OF443,22,Disease,D,,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB21,Exp3_D23_GB21,GB21,GB21,23,Disease,K,,Healthy,Healthy,Watch,Healthy,Watch,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF132,Exp3_D23_OF132,OF132,OF132,23,Disease,K,,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
GB24,Exp3_D24_GB24,GB24 (1/2),GB24,24,Disease,E,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M9,Exp3_D24_M9,M9,M9,24,Disease,E,,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15358,Exp3_D25_15-358,15-358,15358,25,Disease,L,,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M16,Exp3_D25_M16,M16,M16,25,Disease,L,,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15349,Exp3_D26_15-349,15-349,15349,26,Disease,M,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB14,Exp3_D26_GB14,GB14,GB14,26,Disease,M,,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M13,Exp3_D27_M13,M13,M13,27,Disease,M,,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
S575,Exp3_D27_OF575,OF575,S575,27,Disease,M,,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
M19,Exp3_D28_M19,M19,M19,28,Disease,L,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF100,Exp3_D28_OF100,OF100 (1/2),OF100,28,Disease,L,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M7,Exp3_D29_M7,M7,M7,29,Disease,K,,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF96,Exp3_D29_OF96,OF96 (1/2),OF96,29,Disease,K,,Healthy,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
F1A,Exp3_D30_F1A,F1-A (1/2),F1A,30,Disease,J,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed
M8,Exp3_D30_M8,M8,M8,30,Disease,J,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
GB3,Exp3_D31_GB3,GB3,GB3,31,Disease,N,,Healthy,Watch,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
UK25,Exp3_D31_UK25,UK25 (1/2),UK25,31,Disease,N,,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M34,Exp3_D32_M34,M34,M34,32,Disease,L,,Healthy,Watch,Initial Disease,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF100,Exp3_D32_OF100,OF100 (1/2),OF100,32,Disease,L,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB2,Exp3_D33_GB2,GB2,GB2,33,Disease,J,,Healthy,Healthy,Watch,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M32,Exp3_D33_M32,M32,M32,33,Disease,J,,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M21,Exp3_D34_M21,M21,M21,34,Disease,N,,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF75,Exp3_D34_OF75,OF75,OF75,34,Disease,N,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
F32,Exp3_D35_F32,F32 (1/2),F32,35,Disease,N,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M27,Exp3_D35_M27,M27,M27,35,Disease,N,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M30,Exp3_D36_M30,M30,M30,36,Disease,J,,Healthy,Healthy,Healthy,Watch,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF99,Exp3_D36_OF99,OF99,OF99,36,Disease,J,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M26,Exp3_D37_M26,M26,M26,37,Disease,M,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF3,Exp3_D37_OF3,OF3,OF3,37,Disease,M,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M28,Exp3_D38_M28,M28,M28,38,Disease,E,,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF11,Exp3_D38_OF11,OF11,OF11,38,Disease,E,,Healthy,Initial Disease,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M24,Exp3_D39_M24,M24,M24,39,Disease,K,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF354,Exp3_D39_OF354,OF354,OF354,39,Disease,K,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB1,Exp3_D40_GB1,GB1,GB1,40,Disease,E,,Healthy,Watch,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M20,Exp3_D40_M20,M20,M20,40,Disease,E,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
M31,Exp3_D41_M31,M31,M31,41,Disease,J,,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Watch,Watch,Healthy,Watch,Watch,Watch,Watch,Watch,Watch,Watch,Healthy
OF96,Exp3_D41_OF96,OF96 (1/2),OF96,41,Disease,J,,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
GB26,Exp3_D42_GB26,GB26,GB26,42,Disease,N,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
GB4,Exp3_D42_GB4,GB4,GB4,42,Disease,N,,Healthy,Healthy,Healthy,Watch,Watch,Watch,Watch,Watch,Watch,Watch,Watch,Watch,Watch,Healthy,Watch,Healthy,Healthy
OF654,Exp3_D43_OF654,OF654,OF654,43,Disease,D,,Healthy,Watch,Watch,Watch,Watch,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S378,Exp3_D43_S378,S378 (1/2),S378,43,Disease,D,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB5,Exp3_D44_GB5,GB5,GB5,44,Disease,N,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF656,Exp3_D44_OF656,OF656,OF656,44,Disease,N,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15353,Exp3_D45_15-353,15-353 (1/2),15353,45,Disease,J,,Healthy,Watch,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF1,Exp3_D45_OF1,OF1,OF1,45,Disease,J,,Healthy,Watch,Watch,Watch,Watch,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB6,Exp3_D46_GB6,GB6,GB6,46,Disease,M,,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF680,Exp3_D46_OF680,OF680,OF680,46,Disease,M,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed
OF125,Exp3_D47_OF125,OF125,OF125,47,Disease,J,,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S378,Exp3_D47_S378,S378 (1/2),S378,47,Disease,J,,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M23,Exp3_D48_M23,M23,M23,48,Disease,J,,Healthy,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF5,Exp3_D48_OF5,OF5,OF5,48,Disease,J,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed
M33,Exp3_D49_M33,M33,M33,49,Disease,M,,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF8,Exp3_D49_OF8,OF8,OF8,49,Disease,M,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M29,Exp3_D50_M29,M29,M29,50,Disease,N,,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S439,Exp3_D50_S439,S439,S439,50,Disease,N,,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
